,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,1593.9411764705883
17,1600.5882352941176
18,1611.1176470588234
19,1624.9411764705883
20,1640.235294117647
21,1655.8823529411766
22,1671.0588235294117
23,1684.8823529411766
24,1696.235294117647
25,1705.764705882353
26,1727.7058823529412
27,1753.1176470588234
28,1782.2941176470588
29,1813.8235294117646
30,1844.8823529411766
31,1872.6470588235295
32,1895.0
33,1911.3529411764705
34,1923.8823529411766
35,1934.2941176470588
36,1944.1176470588234
37,1955.1176470588234
38,1966.3529411764705
39,1977.764705882353
40,1988.2941176470588
41,2000.0588235294117
42,2014.5882352941176
43,2018.0
44,2017.8823529411766
45,2013.4705882352941
46,2004.9411764705883
47,1994.1176470588234
48,1982.5882352941176
49,1984.1764705882354
50,1987.0588235294117
51,1989.0588235294117
52,1990.2941176470588
53,1991.8823529411766
54,1993.8823529411766
55,1997.0588235294117
56,2000.4705882352941
57,2004.4117647058824
58,2004.9411764705883
59,2001.1176470588234
60,1992.5294117647059
61,1980.9411764705883
62,1968.8235294117646
63,1959.4117647058824
64,1953.6470588235295
65,1952.9411764705883
66,1944.5294117647059
67,1939.0588235294117
68,1937.1764705882354
69,1938.6470588235295
70,1941.9411764705883
71,1946.1764705882354
72,1948.1176470588234
73,1954.4117647058824
74,1965.3529411764705
75,1982.8235294117646
76,2006.0
77,2033.1176470588234
78,2061.3529411764707
79,2088.176470588235
80,2111.0588235294117
81,2129.470588235294
82,2142.0
83,2149.5882352941176
84,2152.823529411765
85,2153.235294117647
86,2149.529411764706
87,2142.3529411764707
88,2133.235294117647
89,2125.705882352941
90,2114.0
91,2099.0588235294117
92,2080.529411764706
93,2059.0
94,2036.2941176470588
95,2014.3529411764705
96,1991.764705882353
97,1974.0588235294117
98,1959.9411764705883
99,1950.0
100,1942.6470588235295
101,1938.8823529411766
102,1937.235294117647
103,1939.0
104,1943.9411764705883
105,1950.7058823529412
106,1957.8235294117646
107,1964.5882352941176
108,1970.3529411764705
109,1975.9411764705883
110,1979.9411764705883
111,1983.2941176470588
112,1984.4705882352941
113,1985.764705882353
114,1981.0
115,1971.0
116,1956.1176470588234
117,1938.5294117647059
118,1918.4117647058824
119,1917.5294117647059
120,1916.6470588235295
121,1915.4705882352941
122,1913.4705882352941
123,1910.235294117647
124,1904.4117647058824
125,1894.235294117647
126,1879.8235294117646
127,1861.6470588235295
128,1840.9411764705883
129,1820.8823529411766
130,1802.764705882353
131,1788.1764705882354
132,1779.1764705882354
133,1774.7058823529412
134,1774.2941176470588
135,1778.235294117647
136,1765.8823529411766
137,1756.0
138,1748.0588235294117
139,1742.2941176470588
140,1738.2941176470588
141,1736.2941176470588
142,1726.6470588235295
143,1723.3529411764705
144,1728.0
145,1737.5294117647059
146,1750.764705882353
147,1767.2941176470588
